post_id,text,post_text,time,image,video,comments,shares,reactions,reaction_count
944802137004100,Cuốn quá hong dứt ra được 🫢,Cuốn quá hong dứt ra được 🫢,2023-11-28 11:12:18,0,0,2202,671,"{'thích': 4462, 'yêu thích': 82, 'haha': 7902, 'wow': 14, 'thương thương': 29, 'buồn': 2102, 'phẫn nộ': 4}",14595
944225883728392,"eIm mới hai tuổi, mà suốt ngày dính phờ-ốt, tóc xíc là saoooo?
Anh, chị ổn không ạ?","eIm mới hai tuổi, mà suốt ngày dính phờ-ốt, tóc xíc là saoooo?
Anh, chị ổn không ạ?",2023-11-27 11:59:35,1,0,446,148,"{'thích': 9850, 'yêu thích': 1206, 'haha': 521, 'wow': 11, 'thương thương': 78, 'buồn': 3476, 'phẫn nộ': 15}",15157
943155540502093,"Trong cuốn sách “Khám phá đứa trẻ bên trong bạn”, tác giả Stefanie Stahl viết: “Có vô số đứa trẻ trong quá trình trưởng thành, linh hồn chúng luôn muốn nhảy xuống những cây cầu. Chỉ là thân thể kiên trì ở lại,Xem thêm tê tê dại dại mà trở thành người lớn.”

Những đứa trẻ đó có thể vụn vỡ dưới áp lực kỳ vọng, có thể tê dại bởi mất đi điểm tựa, có thể phải đối mặt với những “con quái vật” trong chính ngôi nhà của mình.

Nhưng sẽ luôn có ánh sáng cuối đường hầm, dù thứ bạn băng qua có tối tăm đến đâu. Nếu bạn là một cô bé Serina khác, bạn cũng sẽ tìm thấy hy vọng. Đừng bỏ cuộc!

AMV TỪ TRÊN CAO NHÌN XUỐNG | SUZU STUDIO x SUZU MUSIC |
Một sản phẩm đồng cảm với những số phận.

#TTCNX","Trong cuốn sách “Khám phá đứa trẻ bên trong bạn”, tác giả Stefanie Stahl viết: “Có vô số đứa trẻ trong quá trình trưởng thành, linh hồn chúng luôn muốn nhảy xuống những cây cầu. Chỉ là thân thể kiên trì ở lại,Xem thêm tê tê dại dại mà trở thành người lớn.”

Những đứa trẻ đó có thể vụn vỡ dưới áp lực kỳ vọng, có thể tê dại bởi mất đi điểm tựa, có thể phải đối mặt với những “con quái vật” trong chính ngôi nhà của mình.

Nhưng sẽ luôn có ánh sáng cuối đường hầm, dù thứ bạn băng qua có tối tăm đến đâu. Nếu bạn là một cô bé Serina khác, bạn cũng sẽ tìm thấy hy vọng. Đừng bỏ cuộc!

AMV TỪ TRÊN CAO NHÌN XUỐNG | SUZU STUDIO x SUZU MUSIC |
Một sản phẩm đồng cảm với những số phận.

#TTCNX",2023-11-25 12:30:50,0,1,82,70,"{'thích': 946, 'yêu thích': 230, 'wow': 3, 'thương thương': 40, 'buồn': 15}",1234
942979587186355,"Khi nào thì nhà không còn là nơi để trở về?
Khi nào thì một đứa trẻ buộc phải trốn chạy khỏi mái ấm của mình?
Khi nào thì “nỗi tuyệt vọng trở thành điểm cắt giữa những hy vọng và ngày mai”?

Câu trả lời nằmXem thêm trong AMV ""Từ Trên Cao Nhìn Xuống"" do SuZu Studio và SuZu Music phối hợp sản xuất, sẽ ra mắt vào 19h30 tối nay, ngày 25.11.2023 trên Fanpage & Youtube SuZu Studio.

#TTCNX","Khi nào thì nhà không còn là nơi để trở về?
Khi nào thì một đứa trẻ buộc phải trốn chạy khỏi mái ấm của mình?
Khi nào thì “nỗi tuyệt vọng trở thành điểm cắt giữa những hy vọng và ngày mai”?

Câu trả lời nằmXem thêm trong AMV ""Từ Trên Cao Nhìn Xuống"" do SuZu Studio và SuZu Music phối hợp sản xuất, sẽ ra mắt vào 19h30 tối nay, ngày 25.11.2023 trên Fanpage & Youtube SuZu Studio.

#TTCNX",2023-11-25 04:28:38,0,1,15,33,"{'thích': 383, 'yêu thích': 210, 'haha': 2, 'wow': 1, 'thương thương': 10, 'buồn': 55}",661
942643393886641,"Dưới đó là dòng người, là mặt đường hay là cái kết cho một cuộc đời?
Từ trên cao nhìn xuống là sự bao quát cho cả một không gian rộng lớn nhưng có khi chỉ là ánh nhìn lơ đễnh vì không biết phải hướng mình vềXem thêm đâu.
Và rồi, cô gái ấy sẽ ra sao khi nhà không còn là nơi để trở về?
Câu trả lời nằm trong:

AMV TỪ TRÊN CAO NHÌN XUỐNG | SUZU STUDIO X SUZU MUSIC | 25.11.2023.

#TTCNX","Dưới đó là dòng người, là mặt đường hay là cái kết cho một cuộc đời?
Từ trên cao nhìn xuống là sự bao quát cho cả một không gian rộng lớn nhưng có khi chỉ là ánh nhìn lơ đễnh vì không biết phải hướng mình vềXem thêm đâu.
Và rồi, cô gái ấy sẽ ra sao khi nhà không còn là nơi để trở về?
Câu trả lời nằm trong:

AMV TỪ TRÊN CAO NHÌN XUỐNG | SUZU STUDIO X SUZU MUSIC | 25.11.2023.

#TTCNX",2023-11-24 12:30:20,0,0,30,83,"{'thích': 1002, 'yêu thích': 348, 'haha': 3, 'wow': 1, 'thương thương': 16, 'buồn': 176}",1546
941979430619704,"Hôm trước, mình ngồi xem phim với anh đồng nghiệp. Khi đến phân cảnh mẹ và con gái nấu ăn cùng nhau, anh ấy quay sang bảo:

Trông vui ghê! Mấy lúc về nhà em có hay nấu ăn với mẹ như vậy hông?

Mình sững người mộtXem thêm chút, sau đó cười nhẹ và trả lời bằng vài câu vắn tắt. Thật ra, chuyện “nấu ăn cùng mẹ” là một cái gì đó khiến mình rất ám ảnh. Mẹ mình nóng tính cực! Hồi nhỏ, mình bị la suốt, mẹ mình mắng mình thậm tệ khi mình không làm đúng ý bà. Lặt rau không đúng ý cũng bị ch.ử.i, rửa cá không đúng ý cũng bị ch.ử.i, nêm không chuẩn vị cũng bị ch.ử.i. Không ít lần, mình tự ái, chỉ biết òa khóc rồi trốn vào phòng. Mình từng hứa rằng sẽ không bao giờ vào bếp cùng mẹ nữa.

Bây giờ lớn rồi, mỗi khi về nhà, mình vẫn thường xuyên nhận những lời khó nghe từ mẹ. Hai mẹ con vẫn không thể hòa hợp được. Mình buồn lắm… Mấy khi thấy những bạn nữ khác vui vẻ làm bếp cùng mẹ mà mình thầm ghen tỵ. Càng lớn mình càng chẳng muốn về nhà nữa…

Mọi người đã bao giờ trải qua cảm giác nhà không phải là nơi để về chưa?","Hôm trước, mình ngồi xem phim với anh đồng nghiệp. Khi đến phân cảnh mẹ và con gái nấu ăn cùng nhau, anh ấy quay sang bảo:

Trông vui ghê! Mấy lúc về nhà em có hay nấu ăn với mẹ như vậy hông?

Mình sững người mộtXem thêm chút, sau đó cười nhẹ và trả lời bằng vài câu vắn tắt. Thật ra, chuyện “nấu ăn cùng mẹ” là một cái gì đó khiến mình rất ám ảnh. Mẹ mình nóng tính cực! Hồi nhỏ, mình bị la suốt, mẹ mình mắng mình thậm tệ khi mình không làm đúng ý bà. Lặt rau không đúng ý cũng bị ch.ử.i, rửa cá không đúng ý cũng bị ch.ử.i, nêm không chuẩn vị cũng bị ch.ử.i. Không ít lần, mình tự ái, chỉ biết òa khóc rồi trốn vào phòng. Mình từng hứa rằng sẽ không bao giờ vào bếp cùng mẹ nữa.

Bây giờ lớn rồi, mỗi khi về nhà, mình vẫn thường xuyên nhận những lời khó nghe từ mẹ. Hai mẹ con vẫn không thể hòa hợp được. Mình buồn lắm… Mấy khi thấy những bạn nữ khác vui vẻ làm bếp cùng mẹ mà mình thầm ghen tỵ. Càng lớn mình càng chẳng muốn về nhà nữa…

Mọi người đã bao giờ trải qua cảm giác nhà không phải là nơi để về chưa?",2023-11-23 04:51:18,1,0,674,539,"{'thích': 5923, 'yêu thích': 789, 'haha': 46, 'wow': 9, 'thương thương': 165, 'buồn': 3035, 'phẫn nộ': 1}",9968
940859944064986,"4 tuổi rưỡi đã biết lấy tay kìm nước mắt, thử hỏi đứa trẻ này đã phải chịu đựng bao nhiêu tổn thương.","4 tuổi rưỡi đã biết lấy tay kìm nước mắt, thử hỏi đứa trẻ này đã phải chịu đựng bao nhiêu tổn thương.",2023-11-21 09:01:01,0,0,4155,4809,"{'thích': 49071, 'yêu thích': 15596, 'haha': 320, 'wow': 104, 'thương thương': 2704, 'buồn': 37028, 'phẫn nộ': 15}",104838
939784010839246,"Ở trường, những bài học không chỉ nằm trên bảng.","Ở trường, những bài học không chỉ nằm trên bảng.",2023-11-19 13:01:39,1,0,1315,1799,"{'thích': 109684, 'yêu thích': 78073, 'haha': 464, 'wow': 103, 'thương thương': 3731, 'buồn': 125, 'phẫn nộ': 6}",192186
938410677643246,Không ưa nhìn là không được mặc đẹp? 🤔,Không ưa nhìn là không được mặc đẹp? 🤔,2023-11-17 05:03:40,1,0,378,496,"{'thích': 6312, 'yêu thích': 850, 'haha': 57, 'wow': 18, 'thương thương': 155, 'buồn': 3852, 'phẫn nộ': 33}",11277
934253571392290,"Cuộc đời là mớ trớ trêu, thật giả lẫn lộn biết đâu mà lần :')","Cuộc đời là mớ trớ trêu, thật giả lẫn lộn biết đâu mà lần :')",2023-11-12 04:30:00,0,0,518,139,"{'thích': 4453, 'yêu thích': 90, 'haha': 1063, 'wow': 10, 'thương thương': 17, 'buồn': 1621, 'phẫn nộ': 6}",7260
934246374726343,"""Trẻ con có biết gì đâu?"" 🤷‍♂️","""Trẻ con có biết gì đâu?"" 🤷‍♂️",2023-11-11 04:11:00,1,0,468,225,"{'thích': 6604, 'yêu thích': 89, 'haha': 79, 'wow': 9, 'thương thương': 29, 'buồn': 3680, 'phẫn nộ': 90}",10580
933029234848057,Nghề nào cũng có thị phi?,Nghề nào cũng có thị phi?,2023-11-08 12:22:52,1,0,6762,1121,"{'thích': 31124, 'yêu thích': 522, 'haha': 22473, 'wow': 146, 'thương thương': 246, 'buồn': 8317, 'phẫn nộ': 60}",62888
931035358380778,"Thú thật với bạn, âm nhạc hay làm trái tim nhớ về nỗi đau cũ nhưng cũng có thể chữa lành chính nỗi đau ấy.","Thú thật với bạn, âm nhạc hay làm trái tim nhớ về nỗi đau cũ nhưng cũng có thể chữa lành chính nỗi đau ấy.",2023-11-05 13:30:00,1,0,101,296,"{'thích': 3071, 'yêu thích': 1754, 'haha': 19, 'wow': 3, 'thương thương': 76, 'buồn': 32}",4955
931031055047875,Phải làm gì để có thể hài lòng tất cả mọi người?,Phải làm gì để có thể hài lòng tất cả mọi người?,2023-11-04 13:30:00,1,0,167,103,"{'thích': 5360, 'yêu thích': 1046, 'haha': 2197, 'wow': 10, 'thương thương': 59, 'buồn': 61, 'phẫn nộ': 1}",8734
928529168631397,Liệu kẻ đeo cánh thiên thần có phải là người tốt?,Liệu kẻ đeo cánh thiên thần có phải là người tốt?,2023-10-31 12:34:44,1,0,856,897,"{'thích': 57733, 'yêu thích': 11246, 'haha': 2543, 'wow': 139, 'thương thương': 340, 'buồn': 8292, 'phẫn nộ': 17}",80310
927398472077800,Mạng xã hội đang dần biến con người thành một cỗ máy vô cảm khi nhiều người tự nhốt bản thân vào đó mà mất dần khả năng kết nối với thế giới thực.,Mạng xã hội đang dần biến con người thành một cỗ máy vô cảm khi nhiều người tự nhốt bản thân vào đó mà mất dần khả năng kết nối với thế giới thực.,2023-10-29 13:21:04,1,0,173,217,"{'thích': 3154, 'yêu thích': 739, 'haha': 12, 'wow': 6, 'thương thương': 30, 'buồn': 107, 'phẫn nộ': 1}",4049
926769352140712,Cuộc sống giống như việc bơi lội. Kẻ nào không bơi ắt sẽ chìm.,Cuộc sống giống như việc bơi lội. Kẻ nào không bơi ắt sẽ chìm.,2023-10-28 12:30:39,1,0,213,274,"{'thích': 5662, 'yêu thích': 1463, 'haha': 49, 'wow': 3, 'thương thương': 41, 'buồn': 77}",7295
925637395587241,Bạn nghĩ sao về điều này?,Bạn nghĩ sao về điều này?,2023-10-26 10:15:21,1,0,1447,157,"{'thích': 7576, 'yêu thích': 105, 'haha': 3576, 'wow': 17, 'thương thương': 19, 'buồn': 1167, 'phẫn nộ': 8}",12468
922504355900545,"Tính nữ là điều mà bất cứ ai cũng sẽ có trong mình, dù ít hay nhiều.","Tính nữ là điều mà bất cứ ai cũng sẽ có trong mình, dù ít hay nhiều.",2023-10-21 13:20:22,1,0,2443,1182,"{'thích': 45691, 'yêu thích': 27385, 'haha': 904, 'wow': 48, 'thương thương': 1148, 'buồn': 539, 'phẫn nộ': 45}",75760
921372766013704,"Mọi người sẽ cảm thấy như thế nào, nếu sớm mai thức dậy, chợt phát hiện chú chó cưng của mình đã bị trộm bắt mất?

Tôi không biết đã có bao nhiêu người phải trải qua cảm giác giống như mình, hằng ngày đều mangXem thêm gương mặt bần thần đứng ngoài cổng, nhìn về phía đầu đường để chờ cái dáng hình quen thuộc vẫn luôn vẫy đuôi quấn quýt mỗi khi đi làm về, và rồi thất vọng khi nhận ra rằng sẽ chẳng có thứ gì trở về nữa.

Tất cả chúng ta đều được dạy bảo với ý niệm “Hãy yêu thương động vật và tôn trọng muôn loài”. Và cũng như một lẽ dĩ nhiên, khi ta yêu thương và xem chúng là bạn, là thành viên trong gia đình, ta sẽ tìm mọi cách để bảo vệ.

Tôi biết chúng ta không thể phán xét những ai ă.n t.hịt c.hó, nhưng chừng nào chúng ta còn hành động bằng tất cả tình yêu thương và lòng trắc ẩn thì chừng đó chúng ta còn biết rằng mình đang hướng đến những gì tốt đẹp nhất còn sót lại trên thế giới này.","Mọi người sẽ cảm thấy như thế nào, nếu sớm mai thức dậy, chợt phát hiện chú chó cưng của mình đã bị trộm bắt mất?

Tôi không biết đã có bao nhiêu người phải trải qua cảm giác giống như mình, hằng ngày đều mangXem thêm gương mặt bần thần đứng ngoài cổng, nhìn về phía đầu đường để chờ cái dáng hình quen thuộc vẫn luôn vẫy đuôi quấn quýt mỗi khi đi làm về, và rồi thất vọng khi nhận ra rằng sẽ chẳng có thứ gì trở về nữa.

Tất cả chúng ta đều được dạy bảo với ý niệm “Hãy yêu thương động vật và tôn trọng muôn loài”. Và cũng như một lẽ dĩ nhiên, khi ta yêu thương và xem chúng là bạn, là thành viên trong gia đình, ta sẽ tìm mọi cách để bảo vệ.

Tôi biết chúng ta không thể phán xét những ai ă.n t.hịt c.hó, nhưng chừng nào chúng ta còn hành động bằng tất cả tình yêu thương và lòng trắc ẩn thì chừng đó chúng ta còn biết rằng mình đang hướng đến những gì tốt đẹp nhất còn sót lại trên thế giới này.",2023-10-19 13:00:01,1,0,330,375,"{'thích': 5668, 'yêu thích': 2383, 'haha': 38, 'wow': 3, 'thương thương': 124, 'buồn': 1580, 'phẫn nộ': 3}",9799
919536056197375,Ước gì có cái công tắc để bật tắt mọi suy nghĩ thì tốt quá.,Ước gì có cái công tắc để bật tắt mọi suy nghĩ thì tốt quá.,2023-10-16 12:00:48,1,0,296,603,"{'thích': 5064, 'yêu thích': 1522, 'haha': 79, 'wow': 6, 'thương thương': 65, 'buồn': 576}",7312
918704006280580,"Một ngày nào đó, bạn sẽ chẳng thèm nhớ đến cái nỗi đau chế.t tiệt mà bạn từng cho rằng nó sẽ kéo dài mãi mãi - Taylor Swift","Một ngày nào đó, bạn sẽ chẳng thèm nhớ đến cái nỗi đau chế.t tiệt mà bạn từng cho rằng nó sẽ kéo dài mãi mãi - Taylor Swift",2023-10-15 04:00:03,1,0,1114,2036,"{'thích': 14671, 'yêu thích': 7601, 'haha': 483, 'wow': 15, 'thương thương': 330, 'buồn': 198}",23298
918114719672842,"Mọi thứ trong cuộc sống đến và đi. Nhưng khi một thứ gì đó lưu giữ lại trong trái tim chúng ta, nó sẽ trở nên vĩnh cửu.","Mọi thứ trong cuộc sống đến và đi. Nhưng khi một thứ gì đó lưu giữ lại trong trái tim chúng ta, nó sẽ trở nên vĩnh cửu.",2023-10-14 05:46:01,1,0,135,267,"{'thích': 2517, 'yêu thích': 860, 'haha': 11, 'wow': 7, 'thương thương': 54, 'buồn': 362}",3811
913395826811398,"Trước một cơn bão, có lúc ta cố gắng chống lại nó. Nhưng có lúc ta cần chịu đựng và đợi nó qua đi.","Trước một cơn bão, có lúc ta cố gắng chống lại nó. Nhưng có lúc ta cần chịu đựng và đợi nó qua đi.",2023-10-06 13:01:06,1,0,117,349,"{'thích': 2696, 'yêu thích': 841, 'haha': 5, 'wow': 8, 'thương thương': 53, 'buồn': 212}",3815
911827056968275,"Cái nhìn của bạn về thế giới thường phản ánh nội tâm của bạn nhiều hơn là phản ánh thế giới. “Vứt bỏ những ngộ nhận, rồi bạn sẽ ổn thôi”.","Cái nhìn của bạn về thế giới thường phản ánh nội tâm của bạn nhiều hơn là phản ánh thế giới. “Vứt bỏ những ngộ nhận, rồi bạn sẽ ổn thôi”.",2023-10-03 11:18:12,1,0,77,421,"{'thích': 3097, 'yêu thích': 1113, 'haha': 7, 'wow': 4, 'thương thương': 59, 'buồn': 55, 'phẫn nộ': 1}",4336
911654430318871,"“Tất cả chúng ta đều yêu bản thân mình hơn người khác. Nhưng lại quan tâm đến ý kiến của người khác hơn ý kiến của bản thân mình.”

Marcus Aurelius","“Tất cả chúng ta đều yêu bản thân mình hơn người khác. Nhưng lại quan tâm đến ý kiến của người khác hơn ý kiến của bản thân mình.”

Marcus Aurelius",2023-10-03 02:10:42,0,0,29,217,"{'thích': 1614, 'yêu thích': 513, 'haha': 5, 'wow': 4, 'thương thương': 18, 'buồn': 43}",2197
910198907131090,"“Khi chúng ta trưởng thành, những cảm xúc dần chết đi.”","“Khi chúng ta trưởng thành, những cảm xúc dần chết đi.”",2023-09-30 10:50:33,1,0,113,369,"{'thích': 4612, 'yêu thích': 1148, 'haha': 15, 'wow': 9, 'thương thương': 64, 'buồn': 781, 'phẫn nộ': 1}",6630
908558683961779,"Trung thu, tất cả mọi đứa trẻ đều xứng đáng được có quà.","Trung thu, tất cả mọi đứa trẻ đều xứng đáng được có quà.",2023-09-28 01:26:07,1,0,229,731,"{'thích': 5212, 'yêu thích': 6622, 'haha': 14, 'wow': 6, 'thương thương': 340, 'buồn': 17}",12211
907426317408349,Tôi tự chê thì được chứ còn người khác chê thì...,Tôi tự chê thì được chứ còn người khác chê thì...,2023-09-26 11:58:24,1,0,209,52,"{'thích': 2271, 'yêu thích': 33, 'haha': 992, 'wow': 12, 'thương thương': 8, 'buồn': 400, 'phẫn nộ': 7}",3723
905494094268238,Sự kết nối giữa người với người là một điều quý giá. Thậm chí là quý giá nhất. Hy vọng bạn sẽ không bao giờ quên điều ấy.,Sự kết nối giữa người với người là một điều quý giá. Thậm chí là quý giá nhất. Hy vọng bạn sẽ không bao giờ quên điều ấy.,2023-09-23 12:06:46,1,0,70,238,"{'thích': 2425, 'yêu thích': 1158, 'haha': 5, 'wow': 5, 'thương thương': 50, 'buồn': 13}",3656
904408921043422,"Đừng e sợ nỗi đau. Nếu bạn đang cảm thấy đau khổ, thì đó là dấu hiệu cho thấy bạn đang biến đổi, đang trưởng thành và có thể trở nên tốt hơn.","Đừng e sợ nỗi đau. Nếu bạn đang cảm thấy đau khổ, thì đó là dấu hiệu cho thấy bạn đang biến đổi, đang trưởng thành và có thể trở nên tốt hơn.",2023-09-21 11:52:49,1,0,133,517,"{'thích': 4070, 'yêu thích': 2045, 'haha': 13, 'wow': 5, 'thương thương': 103, 'buồn': 44}",6280
903939854423662,"Yêu thương thì đi kèm chấp nhận. Nhưng thiết nghĩ nó cần đến một cách tự nhiên dựa trên việc thấu hiểu lẫn nhau, chứ không phải một “nghĩa vụ” mà ta buộc đối phương phải “chấp hành”.","Yêu thương thì đi kèm chấp nhận. Nhưng thiết nghĩ nó cần đến một cách tự nhiên dựa trên việc thấu hiểu lẫn nhau, chứ không phải một “nghĩa vụ” mà ta buộc đối phương phải “chấp hành”.",2023-09-20 13:02:12,1,0,340,614,"{'thích': 6350, 'yêu thích': 1999, 'haha': 165, 'wow': 14, 'thương thương': 59, 'buồn': 138, 'phẫn nộ': 1}",8726
902990607851920,"“Vì anh không thể đánh mất quá khứ hay tương lai, làm sao anh có thể mất cái mà anh không có?”

Marcus Aurelius","“Vì anh không thể đánh mất quá khứ hay tương lai, làm sao anh có thể mất cái mà anh không có?”

Marcus Aurelius",2023-09-19 03:51:51,0,0,15,115,"{'thích': 1628, 'yêu thích': 198, 'haha': 12, 'wow': 5, 'thương thương': 9, 'buồn': 226}",2078
902544574563190,Có những tổn thương chỉ lộ ra khi người ta nhận được tình yêu thương.,Có những tổn thương chỉ lộ ra khi người ta nhận được tình yêu thương.,2023-09-18 12:10:38,1,0,304,1210,"{'thích': 9207, 'yêu thích': 3486, 'haha': 58, 'wow': 16, 'thương thương': 290, 'buồn': 2786}",15843
900699394747708,Sau này khi trưởng thành tôi nhận ra ai cũng có một phần vụn vỡ bên trong nhưng không vì thế mà họ ngừng vui vẻ và ngừng tiến về phía trước.,Sau này khi trưởng thành tôi nhận ra ai cũng có một phần vụn vỡ bên trong nhưng không vì thế mà họ ngừng vui vẻ và ngừng tiến về phía trước.,2023-09-15 12:27:57,1,0,143,1000,"{'thích': 7321, 'yêu thích': 3292, 'haha': 17, 'wow': 4, 'thương thương': 144, 'buồn': 134}",10912
900144174803230,Thỉnh thoảng cho phép bản thân được “ngắt kết nối” một chút nha mọi người ơi.,Thỉnh thoảng cho phép bản thân được “ngắt kết nối” một chút nha mọi người ơi.,2023-09-14 12:36:26,1,0,287,900,"{'thích': 8649, 'yêu thích': 3462, 'haha': 147, 'wow': 2, 'thương thương': 110, 'buồn': 50}",12420
898972871587027,Đôi khi tôi thấy cuộc sống là một dải băng chuyền và chúng ta được đặt trên đó. Nó cứ trôi đi và không cho chúng ta ngơi nghỉ dù chỉ là một phút.,Đôi khi tôi thấy cuộc sống là một dải băng chuyền và chúng ta được đặt trên đó. Nó cứ trôi đi và không cho chúng ta ngơi nghỉ dù chỉ là một phút.,2023-09-12 11:23:33,1,0,46,231,"{'thích': 2086, 'yêu thích': 283, 'haha': 4, 'wow': 1, 'thương thương': 16, 'buồn': 383, 'phẫn nộ': 1}",2774
897900791694235,Huhu hướng ngoại nửa mùa nó khổ thế đấy.,Huhu hướng ngoại nửa mùa nó khổ thế đấy.,2023-09-10 13:40:16,1,0,627,889,"{'thích': 10530, 'yêu thích': 1542, 'haha': 4727, 'wow': 7, 'thương thương': 113, 'buồn': 142}",17061
896143161869998,"Sự tiêu cực bên trong bạn ngày hôm nay, hy vọng một ngày nào đó bạn có thể chuyển hoá, biến nó thành một cái ô che chắn bạn khỏi những bão giông của cuộc đời.","Sự tiêu cực bên trong bạn ngày hôm nay, hy vọng một ngày nào đó bạn có thể chuyển hoá, biến nó thành một cái ô che chắn bạn khỏi những bão giông của cuộc đời.",2023-09-07 13:43:07,1,0,177,1111,"{'thích': 4630, 'yêu thích': 2274, 'haha': 29, 'wow': 3, 'thương thương': 104, 'buồn': 35}",7075
895556598595321,Nhưng mà phiên bản nào cũng chê thì sao? 😬,Nhưng mà phiên bản nào cũng chê thì sao? 😬,2023-09-06 14:04:02,1,0,904,478,"{'thích': 7699, 'yêu thích': 94, 'haha': 6531, 'wow': 20, 'thương thương': 32, 'buồn': 1199, 'phẫn nộ': 2}",15577
893776378773343,"Mức độ hạnh phúc của một người không quá phụ thuộc vào điều kiện bên ngoài, mà xuất phát nhiều từ sự hài lòng ở sâu bên trong.","Mức độ hạnh phúc của một người không quá phụ thuộc vào điều kiện bên ngoài, mà xuất phát nhiều từ sự hài lòng ở sâu bên trong.",2023-09-03 11:37:56,1,0,127,1221,"{'thích': 7030, 'yêu thích': 3146, 'haha': 20, 'wow': 4, 'thương thương': 131, 'buồn': 13}",10344
893114845506163,Vòng lặp bất tận của sự khổ đau.,Vòng lặp bất tận của sự khổ đau.,2023-09-02 08:22:52,1,0,428,868,"{'thích': 22354, 'yêu thích': 514, 'haha': 451, 'wow': 30, 'thương thương': 98, 'buồn': 7804, 'phẫn nộ': 4}",31255
